"","orchestra_id","orchestra_name","orchestra_url","title","link","datetime","slug","place","time","date","dateOLD","Custom","Column1"
"1",11,"Vinohradský symfonický orchestr","visyo.cz"," kostel Nanebevzetí Panny Marie, Klecany (17.00)","http://visyo.cz/WP/?page_id=337","","","","","08.05.2022",NA,NA,"8. 5. 2022 – kostel Nanebevzetí Panny Marie, Klecany (17.00)"
"2",11,"Vinohradský symfonický orchestr","visyo.cz","  zámek Dobříš (19.00)","http://visyo.cz/WP/?page_id=337","","","","","15.05.2022",NA,NA,"15. 5. 2022 –  zámek Dobříš (19.00)"
"3",11,"Vinohradský symfonický orchestr","visyo.cz"," kostel sv. Šimona a Judy (20.00) – vstupenky zde","http://visyo.cz/WP/?page_id=337","","","","","08.06.2022",NA,NA,"8. 6. 2022 – kostel sv. Šimona a Judy (20.00) – vstupenky zde"
"4",1,"Prague Philharmonia","https://pkf.cz","Bruckner in the Mariendom","https://pkf.cz/bruckner-mariendom-linz","30. 9.   2022, 20:30","/bruckner-mariendom-linz","Mariendom Linz","20:30","30.09.2022",NA,NA,""
"5",1,"Prague Philharmonia","https://pkf.cz","Classical Klangwolke 22","https://pkf.cz/classical-klangwolke-22","1. 10.   2022, 19:30","/classical-klangwolke-22","Brucknerhaus","19:30","01.10.2022",NA,NA,""
"6",4,"Symfonický orchestr hlavního města Prahy FOK","https://www.fok.cz/","BACH PRO OSM RUKOU","https://www.fok.cz/cs/bach-pro-osm-rukou","4. 10. 2022 19:30","","Kostel sv. Šimona a Judy","19:30","04.10.2022",NA,NA,""
"7",9,"Musica Florea","https://www.musicaflorea.cz/","Bach pro osm rukou88. sezóna FOK","","4. 10. 202219:30","","PrahaKostel sv. Šimona a Judy","19:30","04.10.2022",NA,NA,""
"8",7,"Jihočeská filharmonie","https://www.jcfilharmonie.cz","Příležitosti v hudbě","https://www.jcfilharmonie.cz/cs/koncerty/cyklus-koncertu-pro-deti-a-rodice/prilezitosti-v-hudbe/","5.10.2022                      |                       18:00h","/cs/koncerty/cyklus-koncertu-pro-deti-a-rodice/prilezitosti-v-hudbe/","","18:00","05.10.2022",NA,NA,""
"9",4,"Symfonický orchestr hlavního města Prahy FOK","https://www.fok.cz/","ROMAN PATOČKA & ION MARIN","https://www.fok.cz/cs/roman-patocka-ion-marin","5. 10. 2022 19:30","","Obecní dům, Smetanova síň","19:30","05.10.2022",NA,NA,""
"10",7,"Jihočeská filharmonie","https://www.jcfilharmonie.cz","Příležitosti v hudbě","https://www.jcfilharmonie.cz/cs/koncerty/cyklus-koncertu-pro-deti-a-rodice/prilezitosti-v-hudbe/","5.10.2022                      |                       18:00h","/cs/koncerty/cyklus-koncertu-pro-deti-a-rodice/prilezitosti-v-hudbe/","","18:00","05.10.2022",NA,NA,""
"11",7,"Jihočeská filharmonie","https://www.jcfilharmonie.cz","LIA PALE a MATHIAS RÜEGG","https://www.jcfilharmonie.cz/cs/koncerty/abonentni-cyklus-s/lia-pale-a-mathias-ruegg/","6.10.2022                      |                       19:00h","/cs/koncerty/abonentni-cyklus-s/lia-pale-a-mathias-ruegg/","","19:00","06.10.2022",NA,NA,""
"12",7,"Jihočeská filharmonie","https://www.jcfilharmonie.cz","LIA PALE a MATHIAS RÜEGG","https://www.jcfilharmonie.cz/cs/koncerty/abonentni-cyklus-s/lia-pale-a-mathias-ruegg/","6.10.2022                      |                       19:00h","/cs/koncerty/abonentni-cyklus-s/lia-pale-a-mathias-ruegg/","","19:00","06.10.2022",NA,NA,""
"13",4,"Symfonický orchestr hlavního města Prahy FOK","https://www.fok.cz/","ROMAN PATOČKA & ION MARIN","https://www.fok.cz/cs/roman-patocka-ion-marin","6. 10. 2022 19:30","","Obecní dům, Smetanova síň","19:30","06.10.2022",NA,NA,""
"14",9,"Musica Florea","https://www.musicaflorea.cz/","Kantáty a árie českého barokaMusica ad confluentem 2022","","7. 10. 202219:30","","Dobrá Voda u Českých Budějovickostel Panny Marie Bolestné","19:30","07.10.2022",NA,NA,""
"15",1,"Prague Philharmonia","https://pkf.cz","Turné Tchaj-wan 2022","https://pkf.cz/taipei-2022","8. 10.   2022, 19:30","/taipei-2022","Národní koncertní sál","19:30","08.10.2022",NA,NA,""
"16",5,"Filharmonie Hradec Králové","https://www.fhk.cz","O1 – Klapka – Pohyblivé obrázky poprvé!","https://www.fhk.cz/calendar/1028/O1_Klapka_Pohyblive_obrazky_poprve/back/123/Koncerty_chronologicky/","Microsoft.OleDb.Date","/calendar/1028/O1_Klapka_Pohyblive_obrazky_poprve/back/123/Koncerty_chronologicky/","Sál Filharmonie Hradec Králové
 ","","08.10.2022",NA,NA,""
"17",4,"Symfonický orchestr hlavního města Prahy FOK","https://www.fok.cz/","ZAHAJOVACÍ KONCERT PKS","https://www.fok.cz/cs/zahajovaci-koncert-0","8. 10. 2022 19:30","","Kostel sv. Šimona a Judy","19:30","08.10.2022",NA,NA,""
"18",1,"Prague Philharmonia","https://pkf.cz","Turné Tchaj-wan 2022","https://pkf.cz/taichung-2022","9. 10.   2022, 19:30","/taichung-2022","Velké divadlo Národní opery","19:30","09.10.2022",NA,NA,""
"19",1,"Prague Philharmonia","https://pkf.cz","Turné Tchaj-wan 2022","https://pkf.cz/pingtung-2022","10. 10.   2022, 19:30","/pingtung-2022","Pingtung Performing Arts Center","19:30","10.10.2022",NA,NA,""
"20",1,"Prague Philharmonia","https://pkf.cz","Turné Tchaj-wan 2022","https://pkf.cz/kao-siung-2022","11. 10.   2022, 19:30","/kao-siung-2022","Národní centrum pro umění a kulturu Kao-siung","19:30","11.10.2022",NA,NA,""
"21",5,"Filharmonie Hradec Králové","https://www.fhk.cz","M1 – Petr Bende zpívá Petra Nováka","https://www.fhk.cz/calendar/1032/M1_Petr_Bende_zpiva_Petra_Novaka/back/123/Koncerty_chronologicky/","Microsoft.OleDb.Date","/calendar/1032/M1_Petr_Bende_zpiva_Petra_Novaka/back/123/Koncerty_chronologicky/","Sál Filharmonie Hradec Králové
 ","","11.10.2022",NA,NA,""
"22",5,"Filharmonie Hradec Králové","https://www.fhk.cz","Lucie v opeře tour – Praha","https://www.fhk.cz/calendar/1067/Lucie_v_opere_tour_Praha/back/123/Koncerty_chronologicky/","Microsoft.OleDb.Date","/calendar/1067/Lucie_v_opere_tour_Praha/back/123/Koncerty_chronologicky/","Praha, O2arena
","","12.10.2022",NA,NA,""
"23",4,"Symfonický orchestr hlavního města Prahy FOK","https://www.fok.cz/","POD ZNĚJÍCÍMI KLENBAMI","https://www.fok.cz/cs/pod-znejicimi-klenbami","12. 10. 2022 20:30","","Kostel sv. Šimona a Judy","20:30","12.10.2022",NA,NA,""
